Name: angerville-1-b
Location: 48.3201 , 2.0284
Issued: 2020/07/24 18:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/24 18:00UTC,2.12,340
2020/07/24 21:00UTC,0.45,348
2020/07/25 00:00UTC,2.17,220
2020/07/25 03:00UTC,3.47,253
2020/07/25 06:00UTC,3.40,234
2020/07/25 09:00UTC,4.38,229
2020/07/25 12:00UTC,5.60,221
2020/07/25 15:00UTC,6.47,227
2020/07/25 18:00UTC,4.89,246
2020/07/25 21:00UTC,4.42,245
2020/07/26 00:00UTC,5.42,242
2020/07/26 03:00UTC,4.75,239
2020/07/26 06:00UTC,3.78,244
2020/07/26 09:00UTC,4.76,257
2020/07/26 12:00UTC,4.91,260
2020/07/26 15:00UTC,5.01,270
2020/07/26 18:00UTC,3.00,268
2020/07/27 00:00UTC,0.36,0
2020/07/27 03:00UTC,2.29,222
2020/07/27 06:00UTC,2.36,233
2020/07/27 09:00UTC,2.55,225
2020/07/27 21:00UTC,5.84,257
2020/07/28 00:00UTC,5.20,250
2020/07/28 03:00UTC,4.90,245
2020/07/28 06:00UTC,4.52,243
2020/07/28 09:00UTC,5.35,253
2020/07/28 18:00UTC,5.37,342
2020/07/28 21:00UTC,4.51,354
2020/07/29 00:00UTC,3.39,4
2020/07/29 03:00UTC,2.84,7
2020/07/29 06:00UTC,2.40,15
2020/07/29 21:00UTC,4.64,35
2020/07/30 03:00UTC,3.58,34
2020/07/30 06:00UTC,3.07,34
2020/07/30 09:00UTC,3.01,47
2020/07/30 12:00UTC,2.60,60
2020/07/30 15:00UTC,2.29,62
