Name: angerville-2-b
Location: 48.3219 , 2.0306
Issued: 2020/07/20 12:00UTC
Time,Speed(m/s),Direction (deg N)
2020/07/20 12:00UTC,4.35,20
2020/07/20 15:00UTC,4.32,27
2020/07/20 18:00UTC,4.44,26
2020/07/20 21:00UTC,4.62,24
2020/07/21 00:00UTC,4.86,25
2020/07/21 03:00UTC,4.42,28
2020/07/21 06:00UTC,4.02,29
2020/07/21 09:00UTC,3.62,32
2020/07/21 12:00UTC,3.66,23
2020/07/21 15:00UTC,3.48,23
2020/07/21 18:00UTC,3.45,13
2020/07/21 21:00UTC,4.28,14
2020/07/22 00:00UTC,4.69,24
2020/07/22 03:00UTC,4.00,35
2020/07/22 06:00UTC,3.03,34
2020/07/22 09:00UTC,3.15,38
2020/07/22 12:00UTC,2.60,30
2020/07/22 15:00UTC,3.34,17
2020/07/22 18:00UTC,2.96,25
2020/07/22 21:00UTC,2.15,16
2020/07/23 00:00UTC,2.94,34
2020/07/23 03:00UTC,2.59,1
2020/07/23 06:00UTC,2.37,342
2020/07/23 09:00UTC,1.99,348
2020/07/23 12:00UTC,2.04,327
2020/07/23 15:00UTC,2.48,317
2020/07/23 18:00UTC,3.07,341
2020/07/23 21:00UTC,5.90,349
2020/07/24 00:00UTC,4.23,354
2020/07/24 03:00UTC,3.08,351
2020/07/24 06:00UTC,2.31,343
2020/07/24 09:00UTC,1.69,337
2020/07/24 12:00UTC,1.51,326
2020/07/24 15:00UTC,2.17,286
2020/07/24 18:00UTC,1.61,347
2020/07/24 21:00UTC,3.57,24
2020/07/25 00:00UTC,3.57,355
2020/07/25 03:00UTC,2.82,345
2020/07/25 06:00UTC,2.06,336
2020/07/25 09:00UTC,2.02,318
2020/07/25 12:00UTC,4.06,289
2020/07/25 15:00UTC,3.84,310
2020/07/25 18:00UTC,2.86,318
2020/07/25 21:00UTC,4.02,338
2020/07/26 00:00UTC,3.07,357
2020/07/26 03:00UTC,1.97,347
2020/07/26 06:00UTC,0.47,333
2020/07/26 09:00UTC,1.42,209
2020/07/26 12:00UTC,3.56,234
2020/07/26 15:00UTC,4.38,243
2020/07/26 18:00UTC,4.73,234
2020/07/26 21:00UTC,4.37,269
2020/07/27 00:00UTC,4.18,265
2020/07/27 03:00UTC,3.33,254
2020/07/27 06:00UTC,3.73,249
2020/07/27 09:00UTC,5.16,279
2020/07/27 12:00UTC,5.78,253
2020/07/27 15:00UTC,8.01,295
2020/07/27 18:00UTC,5.77,301
2020/07/27 21:00UTC,4.49,302
2020/07/28 00:00UTC,4.28,281
